Pair,Address0,Address1,Reserves0,Reserves1
0x74772FBe8ea1b9aD1D750D6334Cdb8C3e227D6ED,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,9031024471411991547164,170152008452970433809
0x30748322B6E34545DBe0788C421886AEB5297789,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,4171597820810154738941101,83436407621227307764537560
0x279b2c897737a50405ED2091694F225D83F2D3bA,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x321162Cd933E2Be498Cd2267a90534A804051b11,1953000347655697710846125,1703866054
0x613BF4E46b4817015c01c6Bb31C7ae9edAadc26e,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x74b23882a30290451A17c44f4F05243b6b58C76d,2367826361005754661588630,380332134240277400327
0xe7E90f5a767406efF87Fdad7EB07ef407922EC1D,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,2362703784351,9673664821027743712871243
0xBaf1B2fD16f7294ca158B3F1065e5f27F9c72b61,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,8064998315311685805595,3050780034830563876094
0xDF18DD2631f02D930071DF7d6FF89bbc3718C62F,0x09e145A1D53c0045F41aEEf25D8ff982ae74dD56,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,16764965,188980390482664272024136
0x936D23C83c2469f6a14B9f5bEaec13879598A5aC,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xf16e81dce15B08F326220742020379B855B87DF9,214716929203784887185266,126657832373862428185315
0x9Fe4c0CE5F533e96C2b72d852f190961AD5a7bB3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xae75A438b2E0cB8Bb01Ec1E1e376De11D44477CC,57901358156890495065621,11807808403716666917290
0x040dd0d0f5e2a01fEb0C5457AbB588B23Cf4c43a,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,3722617085237566901580,43898796611627705253
0x374C8ACb146407Ef0AE8F82BaAFcF8f4EC1708CF,0x1E4F97b9f9F913c46F1632781732927B9019C68b,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,49587062835843330876961,189120559051348579628902
0xd061c6586670792331E14a80f3b3Bb267189C681,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,530876545416019930656022,18618489204785940629876
0x5427E7AB61145c41b1e58453121245dAEF3929C3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xB01E8419d842beebf1b70A7b5f7142abbaf7159D,318790121435633753033,9144364221294705663
0x4fc38a2735C7da1d71ccAbf6DeC235a7DA4Ec52C,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,58769521035559778889821,2262101885706177644
0xAdd67A7cdb34f6CACda03eB66BA75231af141e80,0x09e145A1D53c0045F41aEEf25D8ff982ae74dD56,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,454,94224870049687066219
0xF78d8D124DF289e8dd2725584f008AE2C6d27A96,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xbAc5d43A56696e5D0CB631609E85798f564b513b,1465443324826117531396,4531725809676
0xD687dD4b2dca486AB4AaFed87990ecEf4B28c5A1,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,144470568,11815341304777729275749
0x26D583028989378Cc1b7CBC023f4Ae049d5e5899,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xdDcb3fFD12750B45d32E084887fdf1aABAb34239,23924935656455920930323,1400143487888513307788
0x5D4132a2a841710801c9d93cd795cba29B46a56b,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xf16e81dce15B08F326220742020379B855B87DF9,3283831175778403103,93891250446728082
0xdbc490b47508D31c9EC44aFB6e132AD01C61A02c,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,153892909590592616876371,37629167874502598974991
0x91807d4715C2C2f0c88504450478d60B76FF2b2D,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0xbAc5d43A56696e5D0CB631609E85798f564b513b,66270793,1
0x3CB6FD893f9a286E0Dfcea7e1D29785af49Bac7b,0x6E0aA9718C56Ef5d19ccf57955284C7CD95737be,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,813653656819416443,33232736945029393
0x2A8136A959A4CE952F6123b791F76Da2473F164e,0x321162Cd933E2Be498Cd2267a90534A804051b11,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,523,9416621770449826097
